,date,hour,temperature_2m,snowfall,rain,weather_code,snow_depth,showers,Boro,Vol,street,fromSt,toSt,Direction
79,2024-01-06,15,33.7235,0.0,0.0,3.0,0.0,0.0,Manhattan,63,9 AVENUE,West 219 Street,West 220 Street,SB
80,2024-01-06,16,33.8135,0.0,0.0,3.0,0.0,0.0,Queens,78,BROADWAY,Queens Boulevard,Queens Boulevard Line,SB
81,2024-01-06,16,33.8135,0.0,0.0,3.0,0.0,0.0,Brooklyn,49,METROPOLITAN AVENUE,Dead end,Varick Avenue,WB
82,2024-01-06,16,33.8135,0.0,0.0,3.0,0.0,0.0,Queens,70,GRAND AVENUE,72 Street,Mazeau Street,EB
83,2024-01-06,16,33.8135,0.0,0.0,3.0,0.0,0.0,Queens,70,BROADWAY,Queens Boulevard Line,Queens Boulevard,NB
84,2024-01-06,16,33.8135,0.0,0.0,3.0,0.0,0.0,Manhattan,28,9 AVENUE,West 219 Street,West 220 Street,SB
85,2024-01-06,17,34.9835,0.0,0.0,3.0,0.0,0.0,Queens,61,BROADWAY,Queens Boulevard,Queens Boulevard Line,SB
86,2024-01-06,17,34.9835,0.0,0.0,3.0,0.0,0.0,Brooklyn,33,METROPOLITAN AVENUE,Dead end,Varick Avenue,WB
87,2024-01-06,17,34.9835,0.0,0.0,3.0,0.0,0.0,Queens,71,GRAND AVENUE,72 Street,Mazeau Street,EB
88,2024-01-06,17,34.9835,0.0,0.0,3.0,0.0,0.0,Queens,67,BROADWAY,Queens Boulevard Line,Queens Boulevard,NB
89,2024-01-06,17,34.9835,0.0,0.0,3.0,0.0,0.0,Manhattan,18,9 AVENUE,West 219 Street,West 220 Street,SB
90,2024-01-06,18,36.4235,0.0,0.0,3.0,0.0,0.0,Queens,64,BROADWAY,Queens Boulevard,Queens Boulevard Line,SB
91,2024-01-06,18,36.4235,0.0,0.0,3.0,0.0,0.0,Brooklyn,27,METROPOLITAN AVENUE,Dead end,Varick Avenue,WB
92,2024-01-06,18,36.4235,0.0,0.0,3.0,0.0,0.0,Queens,75,GRAND AVENUE,72 Street,Mazeau Street,EB
93,2024-01-06,18,36.4235,0.0,0.0,3.0,0.0,0.0,Queens,65,BROADWAY,Queens Boulevard Line,Queens Boulevard,NB
94,2024-01-06,18,36.4235,0.0,0.0,3.0,0.0,0.0,Manhattan,13,9 AVENUE,West 219 Street,West 220 Street,SB
95,2024-01-06,19,36.6035,0.0,0.0,3.0,0.0,0.0,Queens,70,BROADWAY,Queens Boulevard,Queens Boulevard Line,SB
96,2024-01-06,19,36.6035,0.0,0.0,3.0,0.0,0.0,Brooklyn,27,METROPOLITAN AVENUE,Dead end,Varick Avenue,WB
97,2024-01-06,19,36.6035,0.0,0.0,3.0,0.0,0.0,Queens,69,GRAND AVENUE,72 Street,Mazeau Street,EB
98,2024-01-06,19,36.6035,0.0,0.0,3.0,0.0,0.0,Queens,81,BROADWAY,Queens Boulevard Line,Queens Boulevard,NB
99,2024-01-06,19,36.6035,0.0,0.0,3.0,0.0,0.0,Manhattan,9,9 AVENUE,West 219 Street,West 220 Street,SB
